name of excel file;name of sheet;header in row number;TSS position called;locus tag called
zjb999093409sd1.xlsx;TSS Map MasterTable;2;Pos;Locus_tag
sd02.xlsx;TSS at ESP;1;"TSS 
co-ordinate";
